Site_ID,EPFU_Occurance,Visual_Score,Date_Netted,Net_Species_Richness,Acoustic_Species_Richness
35A,0,MargPoor,5_8_2021,2,8
75A,1,MargPoor,28_7_2021,1,8
12A,0,MargPoor,21_7_2021,1,6
43M,0,MargPoor,1_6_2021,1,5
91A,0,MargPoor,24_5_2021,3,6
120A,0,MargPoor,18_5_2021,2,2
5A,0,MargPoor,17_5_2021,4,8
13A,0,MargPoor,23_6_2021,1,6
10A,1,MargPoor,21_7_2021,3,5
48A,0,MargPoor,3_8_2021,1,0
3M,0,Suboptimal,24_6_2021,4,3
33A,1,Suboptimal,4_8_2021,3,8
53A,0,Suboptimal,20_5_2021,4,8
62A,0,Suboptimal,19_5_2021,3,8
79M,1,Suboptimal,14_7_2021,4,6
22A,0,Suboptimal,19_7_2021,2,8
73A,0,Suboptimal,14_6_2021,1,10
50A,0,Optimal,26_7_2021,3,5
74A,0,Optimal,27_7_2021,2,9
71A,1,Optimal,13_7_2021,1,8
106A,0,Optimal,26_5_2021,2,5
63A,0,Optimal,16_6_2021,3,4
